{'task_description': 2, 'doc_description': 1, 'answer_description': 1}, 0.17047554168204385
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16341245555956638
{'task_description': 2, 'doc_description': 2, 'answer_description': 2}, 0.16133308756145062
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16127978889351213
{'task_description': 7, 'doc_description': 4, 'answer_description': 1}, 0.15602419495685235
{'task_description': 7, 'doc_description': 0, 'answer_description': 1}, 0.15369508627222786
{'task_description': 1, 'doc_description': 1, 'answer_description': 2}, 0.15308244048195221
{'task_description': 7, 'doc_description': 0, 'answer_description': 1}, 0.15130269261772558
{'task_description': 3, 'doc_description': 0, 'answer_description': 1}, 0.14719661078586052
{'task_description': 3, 'doc_description': 1, 'answer_description': 1}, 0.1454270927276862
{'task_description': 3, 'doc_description': 1, 'answer_description': 1}, 0.1441442226617877
{'task_description': 6, 'doc_description': 1, 'answer_description': 1}, 0.14192709855833066
{'task_description': 4, 'doc_description': 0, 'answer_description': 1}, 0.13996664847006002
{'task_description': 6, 'doc_description': 4, 'answer_description': 1}, 0.137655831953553
{'task_description': 7, 'doc_description': 3, 'answer_description': 1}, 0.13562743277447267
{'task_description': 7, 'doc_description': 3, 'answer_description': 1}, 0.1345239771319851
{'task_description': 5, 'doc_description': 3, 'answer_description': 1}, 0.13131935218225624
{'task_description': 5, 'doc_description': 5, 'answer_description': 3}, 0.1308946919827484
{'task_description': 5, 'doc_description': 3, 'answer_description': 1}, 0.13044488602818935
{'task_description': 4, 'doc_description': 5, 'answer_description': 1}, 0.12633621290482624
{'task_description': 6, 'doc_description': 5, 'answer_description': 1}, 0.12387972895297776
{'task_description': 7, 'doc_description': 5, 'answer_description': 1}, 0.1200205047974195
{'task_description': 7, 'doc_description': 5, 'answer_description': 1}, 0.11911553711868357
{'task_description': 3, 'doc_description': 1, 'answer_description': 3}, 0.1099456434666345
{'task_description': 7, 'doc_description': 5, 'answer_description': 3}, 0.10850112157230518
