{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.23497596678823954
{'task_description': 2, 'doc_description': 1, 'answer_description': 1, 'example_description': 0}, 0.23156416439141903
{'task_description': 3, 'doc_description': 3, 'answer_description': 3, 'example_description': 1}, 0.2313918629037552
{'task_description': 1, 'doc_description': 2, 'answer_description': 2, 'example_description': 1}, 0.2295895576691036
{'task_description': 3, 'doc_description': 3, 'answer_description': 3, 'example_description': 1}, 0.22733547311795374
{'task_description': 3, 'doc_description': 4, 'answer_description': 0, 'example_description': 1}, 0.2232599321278076
{'task_description': 5, 'doc_description': 6, 'answer_description': 2, 'example_description': 1}, 0.22187774325037074
{'task_description': 5, 'doc_description': 3, 'answer_description': 3, 'example_description': 1}, 0.22086970625061386
{'task_description': 0, 'doc_description': 3, 'answer_description': 3, 'example_description': 1}, 0.21761825605291418
{'task_description': 3, 'doc_description': 7, 'answer_description': 3, 'example_description': 1}, 0.21728918832383698
{'task_description': 2, 'doc_description': 4, 'answer_description': 5, 'example_description': 1}, 0.2143887182954604
{'task_description': 5, 'doc_description': 6, 'answer_description': 3, 'example_description': 1}, 0.21277336697959714
{'task_description': 0, 'doc_description': 3, 'answer_description': 2, 'example_description': 2}, 0.21130803492987868
{'task_description': 3, 'doc_description': 4, 'answer_description': 2, 'example_description': 1}, 0.20752142576602944
{'task_description': 2, 'doc_description': 4, 'answer_description': 4, 'example_description': 1}, 0.20445449051194664
{'task_description': 5, 'doc_description': 4, 'answer_description': 3, 'example_description': 2}, 0.2040016372255638
{'task_description': 2, 'doc_description': 7, 'answer_description': 4, 'example_description': 1}, 0.20310335376952138
{'task_description': 5, 'doc_description': 4, 'answer_description': 4, 'example_description': 1}, 0.20202781352242905
{'task_description': 4, 'doc_description': 5, 'answer_description': 0, 'example_description': 1}, 0.19579633326253087
{'task_description': 5, 'doc_description': 7, 'answer_description': 4, 'example_description': 1}, 0.1949571939860015
{'task_description': 4, 'doc_description': 7, 'answer_description': 4, 'example_description': 1}, 0.19486411947979276
{'task_description': 3, 'doc_description': 4, 'answer_description': 4, 'example_description': 1}, 0.19422305527227002
{'task_description': 0, 'doc_description': 3, 'answer_description': 4, 'example_description': 1}, 0.1932210983053669
{'task_description': 2, 'doc_description': 5, 'answer_description': 5, 'example_description': 1}, 0.18565193651485545
{'task_description': 5, 'doc_description': 5, 'answer_description': 4, 'example_description': 1}, 0.17742561063293605
