{'task_description': 1, 'doc_description': 1, 'answer_description': 0, 'example_description': 1}, 0.23497596678823954
{'task_description': 4, 'doc_description': 4, 'answer_description': 3, 'example_description': 0}, 0.23156416439141903
{'task_description': 3, 'doc_description': 2, 'answer_description': 3, 'example_description': 1}, 0.2267680768187296
{'task_description': 2, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.22344439383666237
{'task_description': 1, 'doc_description': 0, 'answer_description': 2, 'example_description': 1}, 0.22164460217504844
{'task_description': 0, 'doc_description': 0, 'answer_description': 3, 'example_description': 5}, 0.22094162702476272
{'task_description': 0, 'doc_description': 0, 'answer_description': 1, 'example_description': 0}, 0.2207357138864692
{'task_description': 0, 'doc_description': 0, 'answer_description': 3, 'example_description': 0}, 0.2134509323059373
{'task_description': 0, 'doc_description': 0, 'answer_description': 3, 'example_description': 2}, 0.21075288204430326
{'task_description': 4, 'doc_description': 0, 'answer_description': 4, 'example_description': 0}, 0.20963076604442213
{'task_description': 0, 'doc_description': 0, 'answer_description': 6, 'example_description': 5}, 0.20914320616384166
{'task_description': 5, 'doc_description': 0, 'answer_description': 6, 'example_description': 5}, 0.209090091414803
{'task_description': 0, 'doc_description': 4, 'answer_description': 7, 'example_description': 2}, 0.20775756561947878
{'task_description': 0, 'doc_description': 0, 'answer_description': 4, 'example_description': 2}, 0.20715480351899437
{'task_description': 0, 'doc_description': 0, 'answer_description': 6, 'example_description': 0}, 0.20505243932416686
{'task_description': 4, 'doc_description': 0, 'answer_description': 3, 'example_description': 3}, 0.20499643897175918
{'task_description': 0, 'doc_description': 0, 'answer_description': 4, 'example_description': 2}, 0.2043712484053335
{'task_description': 0, 'doc_description': 0, 'answer_description': 4, 'example_description': 4}, 0.20398143039497257
{'task_description': 0, 'doc_description': 3, 'answer_description': 4, 'example_description': 4}, 0.20299390686776986
{'task_description': 0, 'doc_description': 0, 'answer_description': 3, 'example_description': 4}, 0.19921719720613507
{'task_description': 5, 'doc_description': 0, 'answer_description': 4, 'example_description': 3}, 0.19914867235240552
{'task_description': 5, 'doc_description': 0, 'answer_description': 5, 'example_description': 0}, 0.19555744687922288
{'task_description': 0, 'doc_description': 3, 'answer_description': 5, 'example_description': 3}, 0.19399727433879344
{'task_description': 5, 'doc_description': 0, 'answer_description': 6, 'example_description': 3}, 0.19144687002237748
{'task_description': 0, 'doc_description': 0, 'answer_description': 7, 'example_description': 4}, 0.18452967501972373
