{'task_description': 1, 'doc_description': 1, 'answer_description': 1}, 0.17047554168204385
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16341245555956638
{'task_description': 1, 'doc_description': 2, 'answer_description': 2}, 0.16133308756145062
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16127978889351213
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.1572729800933832
{'task_description': 4, 'doc_description': 0, 'answer_description': 0}, 0.15723827101247903
{'task_description': 3, 'doc_description': 0, 'answer_description': 4}, 0.15102095488197842
{'task_description': 3, 'doc_description': 3, 'answer_description': 0}, 0.1453352898605568
{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.14472971338530194
{'task_description': 3, 'doc_description': 0, 'answer_description': 0}, 0.14429590490670227
{'task_description': 2, 'doc_description': 0, 'answer_description': 4}, 0.14420640568270282
{'task_description': 3, 'doc_description': 0, 'answer_description': 0}, 0.14339493074562357
{'task_description': 2, 'doc_description': 0, 'answer_description': 4}, 0.1432273160231174
{'task_description': 3, 'doc_description': 4, 'answer_description': 0}, 0.14258406774355079
{'task_description': 2, 'doc_description': 0, 'answer_description': 3}, 0.14243070953732798
{'task_description': 2, 'doc_description': 3, 'answer_description': 3}, 0.1417297745123565
{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.14122383244248057
{'task_description': 3, 'doc_description': 0, 'answer_description': 0}, 0.14117085666696533
{'task_description': 3, 'doc_description': 0, 'answer_description': 4}, 0.1405195174251788
{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.139900890112681
{'task_description': 3, 'doc_description': 0, 'answer_description': 3}, 0.135267178318301
{'task_description': 2, 'doc_description': 4, 'answer_description': 4}, 0.13488111739995765
{'task_description': 3, 'doc_description': 0, 'answer_description': 3}, 0.1329611893270541
{'task_description': 3, 'doc_description': 4, 'answer_description': 4}, 0.1322420143407314
{'task_description': 1, 'doc_description': 4, 'answer_description': 0}, 0.12894294456977806
