{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.21219675471997407
{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.21200852939590747
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.21073590280951737
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.21024425767614918
{'task_description': 1, 'doc_description': 1, 'answer_description': 0}, 0.20840011399024289
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.2078127685056455
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.20757452202366117
{'task_description': 0, 'doc_description': 1, 'answer_description': 3}, 0.20724187519843756
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.20663564169166387
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.20641733253195169
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.20627671442892442
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.20516783352415335
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.20496983549092124
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.2048101828998273
{'task_description': 0, 'doc_description': 0, 'answer_description': 3}, 0.20464640562746006
{'task_description': 0, 'doc_description': 0, 'answer_description': 3}, 0.20426127533290278
{'task_description': 1, 'doc_description': 1, 'answer_description': 3}, 0.20411131024291887
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.20390106231749439
{'task_description': 0, 'doc_description': 0, 'answer_description': 3}, 0.20245132796574566
{'task_description': 1, 'doc_description': 0, 'answer_description': 1}, 0.2024505443172834
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.20240610797385683
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.2023375994765797
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.20143268713475518
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.20104420789910854
{'task_description': 0, 'doc_description': 0, 'answer_description': 2}, 0.2003749122360545
