{'task_description': 0, 'doc_description': 1, 'answer_description': 2}, 0.212711658199341
{'task_description': 2, 'doc_description': 1, 'answer_description': 2}, 0.2125731259248802
{'task_description': 0, 'doc_description': 1, 'answer_description': 2}, 0.21243383708162838
{'task_description': 1, 'doc_description': 1, 'answer_description': 0}, 0.21116466757758126
{'task_description': 0, 'doc_description': 1, 'answer_description': 2}, 0.2108952264000662
{'task_description': 0, 'doc_description': 1, 'answer_description': 2}, 0.20948754595904479
{'task_description': 0, 'doc_description': 1, 'answer_description': 2}, 0.20875275610133248
{'task_description': 0, 'doc_description': 1, 'answer_description': 3}, 0.20811788462941316
{'task_description': 0, 'doc_description': 1, 'answer_description': 2}, 0.2075034334537746
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.20728437003522604
{'task_description': 2, 'doc_description': 0, 'answer_description': 3}, 0.20681069448787076
{'task_description': 1, 'doc_description': 0, 'answer_description': 1}, 0.20657763754246566
{'task_description': 0, 'doc_description': 1, 'answer_description': 3}, 0.20657019952541522
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.20589870883350997
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.20517853598169108
{'task_description': 2, 'doc_description': 0, 'answer_description': 3}, 0.20511895859169826
{'task_description': 1, 'doc_description': 1, 'answer_description': 0}, 0.20468003881929087
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.20377450293703805
{'task_description': 1, 'doc_description': 0, 'answer_description': 1}, 0.20369664447337835
{'task_description': 0, 'doc_description': 0, 'answer_description': 2}, 0.20315213800935727
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.20312896313285025
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.20273288539827838
{'task_description': 0, 'doc_description': 0, 'answer_description': 2}, 0.2023872938188092
{'task_description': 0, 'doc_description': 1, 'answer_description': 3}, 0.202037509263299
{'task_description': 0, 'doc_description': 1, 'answer_description': 2}, 0.2015501033232202
