{'task_description': 1, 'doc_description': 1, 'answer_description': 1}, 0.17047554168204385
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16341245555956638
{'task_description': 1, 'doc_description': 2, 'answer_description': 2}, 0.16133308756145062
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16127978889351213
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.1572729800933832
{'task_description': 4, 'doc_description': 4, 'answer_description': 4}, 0.14468384597145142
{'task_description': 2, 'doc_description': 3, 'answer_description': 0}, 0.14245591748838748
{'task_description': 3, 'doc_description': 2, 'answer_description': 4}, 0.14203888289055336
{'task_description': 3, 'doc_description': 4, 'answer_description': 3}, 0.1398313950355336
{'task_description': 1, 'doc_description': 4, 'answer_description': 5}, 0.1398065439796298
{'task_description': 3, 'doc_description': 2, 'answer_description': 0}, 0.13931787688954336
{'task_description': 4, 'doc_description': 5, 'answer_description': 0}, 0.13866206490394142
{'task_description': 3, 'doc_description': 2, 'answer_description': 4}, 0.13772387823888174
{'task_description': 1, 'doc_description': 4, 'answer_description': 0}, 0.13681761035451775
{'task_description': 1, 'doc_description': 2, 'answer_description': 3}, 0.1360929779649096
{'task_description': 1, 'doc_description': 4, 'answer_description': 3}, 0.13578768201516567
{'task_description': 1, 'doc_description': 2, 'answer_description': 4}, 0.13573837032196306
{'task_description': 2, 'doc_description': 5, 'answer_description': 0}, 0.13442720522841076
{'task_description': 2, 'doc_description': 3, 'answer_description': 5}, 0.13385570102752484
{'task_description': 4, 'doc_description': 5, 'answer_description': 3}, 0.13270220064794666
{'task_description': 3, 'doc_description': 5, 'answer_description': 0}, 0.13178252402308596
{'task_description': 2, 'doc_description': 3, 'answer_description': 6}, 0.13175088266489918
{'task_description': 4, 'doc_description': 3, 'answer_description': 6}, 0.13070004656664072
{'task_description': 2, 'doc_description': 3, 'answer_description': 5}, 0.12943823463434348
{'task_description': 2, 'doc_description': 2, 'answer_description': 3}, 0.12168934281337578
