{'task_description': 0, 'doc_description': 1, 'answer_description': 2}, 0.214548486901728
{'task_description': 0, 'doc_description': 0, 'answer_description': 2}, 0.2110936323952685
{'task_description': 1, 'doc_description': 0, 'answer_description': 1}, 0.21068317174790974
{'task_description': 3, 'doc_description': 0, 'answer_description': 0}, 0.20939190377502181
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.2091418464512052
{'task_description': 3, 'doc_description': 1, 'answer_description': 2}, 0.20888942703934568
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.20874067191937615
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.20791116181223118
{'task_description': 1, 'doc_description': 1, 'answer_description': 1}, 0.20781971972710953
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.20704201825283333
{'task_description': 3, 'doc_description': 1, 'answer_description': 2}, 0.20529965925057903
{'task_description': 3, 'doc_description': 1, 'answer_description': 2}, 0.20514082732969455
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.20447910666235417
{'task_description': 3, 'doc_description': 0, 'answer_description': 1}, 0.2044651511294414
{'task_description': 2, 'doc_description': 0, 'answer_description': 2}, 0.2043482124808464
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.20433313304079634
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.20316461426173238
{'task_description': 2, 'doc_description': 0, 'answer_description': 0}, 0.20224555400384034
{'task_description': 1, 'doc_description': 1, 'answer_description': 3}, 0.20184844697994944
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.19896968722344927
{'task_description': 3, 'doc_description': 1, 'answer_description': 0}, 0.1985115289696574
{'task_description': 2, 'doc_description': 0, 'answer_description': 3}, 0.1980573287546138
{'task_description': 0, 'doc_description': 0, 'answer_description': 3}, 0.19395490305349786
{'task_description': 0, 'doc_description': 1, 'answer_description': 3}, 0.18699314426661662
{'task_description': 0, 'doc_description': 1, 'answer_description': 3}, 0.1866001114698145
