{'task_description': 1, 'doc_description': 3, 'answer_description': 1}, 0.1451620004518224
{'task_description': 3, 'doc_description': 1, 'answer_description': 1}, 0.1450616124448999
{'task_description': 3, 'doc_description': 3, 'answer_description': 1}, 0.14488150537576247
{'task_description': 3, 'doc_description': 1, 'answer_description': 1}, 0.14399442425358275
{'task_description': 3, 'doc_description': 1, 'answer_description': 1}, 0.14298380594302734
{'task_description': 0, 'doc_description': 1, 'answer_description': 1}, 0.13968397460905144
{'task_description': 1, 'doc_description': 2, 'answer_description': 2}, 0.13917159730704565
{'task_description': 0, 'doc_description': 1, 'answer_description': 1}, 0.13808932381073544
{'task_description': 0, 'doc_description': 2, 'answer_description': 2}, 0.13672157369654409
{'task_description': 3, 'doc_description': 1, 'answer_description': 2}, 0.13613896612705575
{'task_description': 0, 'doc_description': 2, 'answer_description': 2}, 0.13429957986850763
{'task_description': 3, 'doc_description': 1, 'answer_description': 3}, 0.13335766036306992
{'task_description': 0, 'doc_description': 2, 'answer_description': 1}, 0.13300971087774185
{'task_description': 2, 'doc_description': 2, 'answer_description': 1}, 0.13247238901757055
{'task_description': 3, 'doc_description': 0, 'answer_description': 2}, 0.1306644186664888
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.12984269222901365
{'task_description': 0, 'doc_description': 1, 'answer_description': 3}, 0.128964951081431
{'task_description': 3, 'doc_description': 2, 'answer_description': 3}, 0.1281941458777007
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.12749297143522678
{'task_description': 1, 'doc_description': 1, 'answer_description': 0}, 0.12636251710455637
{'task_description': 0, 'doc_description': 1, 'answer_description': 3}, 0.12547578929927397
{'task_description': 2, 'doc_description': 2, 'answer_description': 0}, 0.12353755027309332
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.12088708139718797
{'task_description': 3, 'doc_description': 1, 'answer_description': 0}, 0.12024280632469804
{'task_description': 2, 'doc_description': 3, 'answer_description': 0}, 0.1119676549732333
